코드,항목명
1,관리자
 11,의회‧정부 및 기업 고위직
  111,의회 의원‧고위 공무원 및 공공단체 임원
   1111,의회 의원
    11111,국회의원
    11112,지방의회 의원 및 교육 의원
   1112,고위 공무원 및 정당‧특수 단체 임원
    11121,중앙정부 고위 공무원
    11122,지방정부 고위 공무원
    11123,정당 및 특수 단체 임원
  112,기업 대표 및 기업 고위 임원
   1120,기업 대표 및 기업 고위 임원
    11201,기업 대표이사
    11202,기업 고위 임원
,
 12,행정‧경영 지원 및 마케팅 관리직
  121,행정 및 경영 지원 관리자
   1211,정부 행정 관리자
    12110,정부 행정 관리자
   1212,경영 지원 관리자
    12121,총무 및 인사 관리자
    12122,기획 관리자
    12123,재무 관리자
    12124,자재 및 구매 관리자
    12129,그 외 경영 지원 관리자
  122,마케팅 및 광고‧홍보 관리자
   1220,마케팅 및 광고‧홍보 관리자
    12201,마케팅 관리자
    12202,광고 및 홍보 관리자
    12209,그 외 마케팅 및 광고‧홍보 관리자
 13,전문 서비스 관리직
  131,연구‧교육 및 법률 관련 관리자
   1311,연구 관리자
    13111,인문과학 연구 관리자
    13112,사회과학 연구 관리자
    13113,생명 및 자연과학 연구 관리자
    13114,공학 연구 관리자
    13119,그 외 연구 관리자
   1312,교육 관리자
    13121,대학교 총장 및 대학 학장
    13122,중‧고등학교 교장 및 교감
    13123,초등학교 교장 및 교감
    13124,유치원 원장
    13125,직업교육훈련 및 평생교육 기관 관리자
    13129,그 외 교육 관련 관리자
   1313,법률‧경찰‧소방 및 교도 관리자
    13131,법률 관리자
    13132,경찰 관리자
    13133,소방 관리자
    13134,교도 관리자
  132,보험 및 금융 관리자
   1320,보험 및 금융 관리자
    13201,보험 관리자
    13202,금융 관리자
  133,보건 및 사회복지 관련 관리자
   1331,보건 의료 관련 관리자
    13310,보건 의료 관련 관리자
   1332,사회복지 관련 관리자
    13320,사회복지 관련 관리자
  134,문화‧예술 관련 관리자
   1340,문화‧예술 관련 관리자
    13401,공연‧시각예술 관련 관리자
    13402,디자인 관련 관리자
    13403,방송‧출판 및 영상 관련 관리자
  135,정보 통신 관련 관리자
   1350,정보 통신 관련 관리자
    13501,컴퓨터 하드웨어 개발 관리자
    13502,컴퓨터 소프트웨어 개발 관리자
    13503,네트워크 및 정보보안 관리자
    13504,통신 관리자
    13509,그 외 정보 통신 관련 관리자
  139,기타 전문 서비스 관리자
   1390,기타 전문 서비스 관리자
    13901,시장 및 여론 조사 관리자
    13902,부동산 임대 및 토지개발 서비스 관리자
    13903,공동주택 관리자
    13904,인력 공급 및 알선 서비스 관리자
    13905,장비 및 기계임대 서비스 관리자
    13909,그 외 전문 서비스 관리자
 14,건설‧전기 및 생산 관련 관리직
  141,건설‧전기 및 생산 관련 관리자
   1411,건설 및 광업 관련 관리자
    14111,건축 관련 관리자
    14112,토목 관련 관리자
    14113,조경 관련 관리자
    14114,광업 관련 관리자
   1412,전기‧가스 및 수도 관련 관리자
    14121,전기 관련 관리자
    14122,가스 관련 관리자
    14123,수도 관련 관리자
    14124,증기 및 온수 관련 관리자
    14125,신재생에너지 관련 관리자
,
   1413,제품 생산 관련 관리자
    14131,식품 생산 관리자
    14132,섬유 및 의복 제품 생산 관리자
    14133,화학제품 생산 관리자
    14134,금속제품 생산 관리자
    14135,기계제품 생산 관리자
    14136,전기 및 전자 제품 생산 관리자
    14139,그 외 제품 생산 관련 관리자
  149,기타 건설‧전기 및 생산 관련 관리자
   1490,기타 건설‧전기 및 생산 관련 관리자
    14901,농림어업 관련 관리자
    14902,수리 및 정비 관련 관리자
    14909,그 외 건설‧전기 및 생산 관련 관리자
 15,판매 및 고객 서비스 관리직
  151,판매 및 운송 관리자
   1511,영업 및 판매 관련 관리자
    15111,영업 관련 관리자
    15112,판매 관련 관리자
    15113,무역 관련 관리자
   1512,운송 관련 관리자
    15121,육상운송 관리자
    15122,해상운송 관리자
    15123,항공운송 관리자
    15129,그 외 운송 관련 관리자
  152,고객 서비스 관리자
   1521,숙박‧여행‧오락 및 스포츠 관련 관리자
    15211,숙박 관련 관리자
    15212,여행 관련 관리자
    15213,오락 및 스포츠 관련 관리자
    15219,그 외 숙박‧여행‧오락 및 스포츠 관련 관리자
   1522,음식 서비스 관련 관리자
    15220,음식 서비스 관련 관리자
  153,환경‧청소 및 경비 관련 관리자
   1530,환경‧청소 및 경비 관련 관리자
    15301,환경 관련 관리자
    15302,청소 관련 관리자
    15303,경비 및 보안 관련 관리자
  159,기타 판매 및 고객 서비스 관리자
   1590,기타 판매 및 고객 서비스 관리자
    15901,회원 단체 관련 관리자
    15909,그 외 판매 및 고객 서비스 관리자
2,전문가 및 관련 종사자
 21,과학 전문가 및 관련직
  211,생명 및 자연과학 관련 전문가
   2111,생명과학 연구원
    21111,생물학 연구원
    21112,의학 연구원
    21113,약학 연구원
    21114,농학 연구원
    21115,임학 연구원
    21116,수산학 연구원
    21117,식품학 연구원
    21118,축산 및 수의학 연구원
    21119,그 외 생명과학 연구원
   2112,자연과학 연구원
    21121,물리학 연구원
    21122,화학 연구원
    21123,수학 및 통계학 연구원
    21124,지구 및 기상 과학 연구원
    21125,천문 및 우주 과학 연구원
    21129,그 외 자연과학 연구원
  212,인문 및 사회과학 전문가
   2121,인문과학 연구원
    21211,철학 연구원
    21212,역사학 연구원
    21213,언어학 및 문학 연구원
    21214,인류학 및 고고학 연구원
    21215,교육학 연구원
    21216,심리학 연구원
    21219,그 외 인문과학 연구원
   2122,사회과학 연구원
    21221,정치학 연구원
    21222,경제학 연구원
